id;product;name;quality;prefecture;region;longitude;latitude
151;Τυριά;Φέτα;ΠΟΠ;Πειραιώς;Αττικής;23.28209072;37.17458584
152;Τυριά;Μπάτζος;ΠΟΠ;Πέλλης;Κεντρικής Μακεδονίας;22.13086997;40.88526462
153;Τυριά;Φέτα;ΠΟΠ;Πέλλης;Κεντρικής Μακεδονίας;22.13086997;40.88526462
154;Τυριά;Κασέρι;ΠΟΠ;Πέλλης;Κεντρικής Μακεδονίας;22.13086997;40.88526462
155;Τυριά;Μανούρι;ΠΟΠ;Πέλλης;Κεντρικής Μακεδονίας;22.13086997;40.88526462
156;Φρούτα και Λαχανικά;Ακτινίδιο Πιερίας;ΠΓΕ;Πιερίας;Κεντρικής Μακεδονίας;22.44040786;40.26047604
157;Τυριά;Μπάτζος;ΠΟΠ;Πιερίας;Κεντρικής Μακεδονίας;22.44040786;40.26047604
158;Τυριά;Φέτα;ΠΟΠ;Πιερίας;Κεντρικής Μακεδονίας;22.44040786;40.26047604
159;Τυριά;Κασέρι;ΠΟΠ;Πιερίας;Κεντρικής Μακεδονίας;22.44040786;40.26047604
160;Τυριά;Μανούρι;ΠΟΠ;Πιερίας;Κεντρικής Μακεδονίας;22.44040786;40.26047604
161;Ελαιόλαδο;Πρέβεζα;ΠΓΕ;Πρέβεζας;Ηπείρου;20.7087104;39.22636183
162;Τυριά;Φέτα;ΠΟΠ;Πρέβεζας;Ηπείρου;20.7087104;39.22636183
163;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Πρέβεζας;Ηπείρου;20.7087104;39.22636183
164;Τυριά;Γαλοτύρι;ΠΟΠ;Πρέβεζας;Ηπείρου;20.7087104;39.22636183
165;Ελαιόλαδο;Βόρειος Μυλοπόταμος Ρεθύμνης Κρήτης;ΠΟΠ;Ρεθύμνης;Κρήτης;24.62617444;35.26530346
166;Ελιές;Θρούμπα Αμπαδιάς Ρεθύμνης Κρήτης;ΠΟΠ;Ρεθύμνης;Κρήτης;24.62617444;35.26530346
167;Τυριά;Γραβιέρα Κρήτης;ΠΟΠ;Ρεθύμνης;Κρήτης;24.62617444;35.26530346
168;Τυριά;Ξυνομυζήθρα Κρήτης;ΠΟΠ;Ρεθύμνης;Κρήτης;24.62617444;35.26530346
169;Αρτοποιίας;Κρητικό Παξιμάδι;ΠΓΕ;Ρεθύμνης;Κρήτης;24.62617444;35.26530346
170;Τυριά;Φέτα;ΠΟΠ;Ροδόπης;Ανατολικής Μακεδονίας και Θράκης;25.51020141;41.11373521
171;Ελαιόλαδο;Σάμος;ΠΓΕ;Σάμου;Βορείου Αιγαίου;26.57630264;37.68049248
172;Τυριά;Φέτα;ΠΟΠ;Σερρών;Κεντρικής Μακεδονίας;23.52804081;41.0921451
173;Τυριά;Κασέρι;ΠΟΠ;Σερρών;Κεντρικής Μακεδονίας;23.52804081;41.0921451
174;Τυριά;Φέτα;ΠΟΠ;Τρικάλων;Θεσσαλίας;21.59971695;39.64208131
175;Τυριά;Κασέρι;ΠΟΠ;Τρικάλων;Θεσσαλίας;21.59971695;39.64208131
176;Τυριά;Μανούρι;ΠΟΠ;Τρικάλων;Θεσσαλίας;21.59971695;39.64208131
177;Τυριά;Γαλοτύρι;ΠΟΠ;Τρικάλων;Θεσσαλίας;21.59971695;39.64208131
178;Τυριά;Μπάτζος;ΠΟΠ;Τρικάλων;Θεσσαλίας;21.59971695;39.64208131
179;Φρούτα και Λαχανικά;Ακτινίδιο Σπερχειού;ΠΟΠ;Φθιώτιδας;Στερεάς Ελλάδας;22.50047477;38.85552282
180;Φρούτα και Λαχανικά;Ξερά Σύκα Κύμης;ΠΟΠ;Φθιώτιδας;Στερεάς Ελλάδας;22.50047477;38.85552282
181;Τυριά;Φέτα;ΠΟΠ;Φθιώτιδας;Στερεάς Ελλάδας;22.50047477;38.85552282
182;Τυριά;Κατίκι Δομοκού;ΠΟΠ;Φθιώτιδας;Στερεάς Ελλάδας;22.50047477;38.85552282
183;Όσπρια;Φασόλια Γίγαντες-Μεσόσπερμα Πρεσπών Φλώρινας;ΠΓΕ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
184;Όσπρια;Φασόλια κοινά μεσόσπερμα Πρεσπών Φλώρινας;ΠΓΕ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
185;Τυριά;Μπάτζος;ΠΟΠ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
186;Τυριά;Φέτα;ΠΟΠ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
187;Τυριά;Κασέρι;ΠΟΠ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
