year,country,wine_type,activity_type,quantity
2011,Estonia,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2011,Estonia,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2011,Estonia,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2011,Estonia,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2011,Estonia,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2011,Estonia,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2011,Estonia,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2011,Estonia,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2012,Estonia,Vermouth,Official production (1000 hl),0
2012,Estonia,Vermouth,Most intended for the production of grape juice (1000 hl),0
2012,Estonia,Vermouth,Usable production (1000 hl),0
2012,Estonia,Vermouth,Total production other than for vinification (1000 hl),0
2012,Estonia,Vermouth,Losses from evaporation (1000 hl),0
2012,Estonia,Vermouth,Imports from EU (1000 t),0
2012,Estonia,Vermouth,Imports from third countries (1000 hl),0
2012,Estonia,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2012,Estonia,Vermouth,Gross human consumption (1000 hl),0
2012,Estonia,Vermouth,Degree of self-sufficiency (%),0
2012,Estonia,Vermouth,Vinegar manufacture (1000 hl),0
2012,Estonia,Vermouth,Imports0 bottled (1000 hl),0
2012,Estonia,Vermouth,Exports0 bottled (1000 hl),0
2012,Estonia,Wine - Total,Official production (1000 hl),0
2012,Estonia,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2012,Estonia,Wine - Total,Usable production (1000 hl),0
2012,Estonia,Wine - Total,Total production other than for vinification (1000 hl),0
2012,Estonia,Wine - Total,Losses from evaporation (1000 hl),0
2012,Estonia,Wine - Total,Imports from EU (1000 t),0
2012,Estonia,Wine - Total,Imports from third countries (1000 hl),43
2012,Estonia,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),53
2012,Estonia,Wine - Total,Gross human consumption (1000 hl),165
2012,Estonia,Wine - Total,Degree of self-sufficiency (%),0
2012,Estonia,Wine - Total,Vinegar manufacture (1000 hl),0
2012,Estonia,Wine - Total,Imports0 bottled (1000 hl),27
2012,Estonia,Wine - Total,Exports0 bottled (1000 hl),24
2012,Estonia,Red and rose wine,Official production (1000 hl),0
2012,Estonia,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2012,Estonia,Red and rose wine,Usable production (1000 hl),0
2012,Estonia,Red and rose wine,Total production other than for vinification (1000 hl),0
2012,Estonia,Red and rose wine,Losses from evaporation (1000 hl),0
2012,Estonia,Red and rose wine,Imports from EU (1000 t),0
2012,Estonia,Red and rose wine,Imports from third countries (1000 hl),0
2012,Estonia,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2012,Estonia,Red and rose wine,Gross human consumption (1000 hl),0
2012,Estonia,Red and rose wine,Degree of self-sufficiency (%),0
2012,Estonia,Red and rose wine,Vinegar manufacture (1000 hl),0
2012,Estonia,Red and rose wine,Imports0 bottled (1000 hl),0
2012,Estonia,Red and rose wine,Exports0 bottled (1000 hl),0
2012,Estonia,White wine,Official production (1000 hl),0
2012,Estonia,White wine,Most intended for the production of grape juice (1000 hl),0
2012,Estonia,White wine,Usable production (1000 hl),0
2012,Estonia,White wine,Total production other than for vinification (1000 hl),0
2012,Estonia,White wine,Losses from evaporation (1000 hl),0
2012,Estonia,White wine,Imports from EU (1000 t),0
2012,Estonia,White wine,Imports from third countries (1000 hl),19
2012,Estonia,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),25
2012,Estonia,White wine,Gross human consumption (1000 hl),90
2012,Estonia,White wine,Degree of self-sufficiency (%),0
2012,Estonia,White wine,Vinegar manufacture (1000 hl),0
2012,Estonia,White wine,Imports0 bottled (1000 hl),13
2012,Estonia,White wine,Exports0 bottled (1000 hl),12
2012,Estonia,Quality wines P.S.R. - Total,Official production (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2012,Estonia,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2012,Estonia,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2012,Estonia,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2013,Estonia,Vermouth,Official production (1000 hl),0
2013,Estonia,Vermouth,Most intended for the production of grape juice (1000 hl),0
2013,Estonia,Vermouth,Usable production (1000 hl),0
2013,Estonia,Vermouth,Total production other than for vinification (1000 hl),0
2013,Estonia,Vermouth,Losses from evaporation (1000 hl),0
2013,Estonia,Vermouth,Imports from EU (1000 t),0
2013,Estonia,Vermouth,Imports from third countries (1000 hl),0
2013,Estonia,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2013,Estonia,Vermouth,Gross human consumption (1000 hl),0
2013,Estonia,Vermouth,Degree of self-sufficiency (%),0
2013,Estonia,Vermouth,Vinegar manufacture (1000 hl),0
2013,Estonia,Vermouth,Imports0 bottled (1000 hl),0
2013,Estonia,Vermouth,Exports0 bottled (1000 hl),0
2013,Estonia,Wine - Total,Official production (1000 hl),0
2013,Estonia,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2013,Estonia,Wine - Total,Usable production (1000 hl),0
2013,Estonia,Wine - Total,Total production other than for vinification (1000 hl),0
2013,Estonia,Wine - Total,Losses from evaporation (1000 hl),0
2013,Estonia,Wine - Total,Imports from EU (1000 t),0
2013,Estonia,Wine - Total,Imports from third countries (1000 hl),40
2013,Estonia,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),38
2013,Estonia,Wine - Total,Gross human consumption (1000 hl),182
2013,Estonia,Wine - Total,Degree of self-sufficiency (%),0
2013,Estonia,Wine - Total,Vinegar manufacture (1000 hl),0
2013,Estonia,Wine - Total,Imports0 bottled (1000 hl),25
2013,Estonia,Wine - Total,Exports0 bottled (1000 hl),12
2013,Estonia,Red and rose wine,Official production (1000 hl),0
2013,Estonia,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2013,Estonia,Red and rose wine,Usable production (1000 hl),0
2013,Estonia,Red and rose wine,Total production other than for vinification (1000 hl),0
2013,Estonia,Red and rose wine,Losses from evaporation (1000 hl),0
2013,Estonia,Red and rose wine,Imports from EU (1000 t),0
2013,Estonia,Red and rose wine,Imports from third countries (1000 hl),0
2013,Estonia,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2013,Estonia,Red and rose wine,Gross human consumption (1000 hl),0
2013,Estonia,Red and rose wine,Degree of self-sufficiency (%),0
2013,Estonia,Red and rose wine,Vinegar manufacture (1000 hl),0
2013,Estonia,Red and rose wine,Imports0 bottled (1000 hl),0
2013,Estonia,Red and rose wine,Exports0 bottled (1000 hl),0
2013,Estonia,White wine,Official production (1000 hl),0
2013,Estonia,White wine,Most intended for the production of grape juice (1000 hl),0
2013,Estonia,White wine,Usable production (1000 hl),0
2013,Estonia,White wine,Total production other than for vinification (1000 hl),0
2013,Estonia,White wine,Losses from evaporation (1000 hl),0
2013,Estonia,White wine,Imports from EU (1000 t),0
2013,Estonia,White wine,Imports from third countries (1000 hl),17
2013,Estonia,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),18
2013,Estonia,White wine,Gross human consumption (1000 hl),103
2013,Estonia,White wine,Degree of self-sufficiency (%),0
2013,Estonia,White wine,Vinegar manufacture (1000 hl),0
2013,Estonia,White wine,Imports0 bottled (1000 hl),10
2013,Estonia,White wine,Exports0 bottled (1000 hl),4
2013,Estonia,Quality wines P.S.R. - Total,Official production (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2013,Estonia,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2013,Estonia,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2013,Estonia,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2014,Estonia,Vermouth,Official production (1000 hl),0
2014,Estonia,Vermouth,Most intended for the production of grape juice (1000 hl),0
2014,Estonia,Vermouth,Usable production (1000 hl),0
2014,Estonia,Vermouth,Total production other than for vinification (1000 hl),0
2014,Estonia,Vermouth,Losses from evaporation (1000 hl),0
2014,Estonia,Vermouth,Imports from EU (1000 t),0
2014,Estonia,Vermouth,Imports from third countries (1000 hl),0
2014,Estonia,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2014,Estonia,Vermouth,Gross human consumption (1000 hl),0
2014,Estonia,Vermouth,Degree of self-sufficiency (%),0
2014,Estonia,Vermouth,Vinegar manufacture (1000 hl),0
2014,Estonia,Vermouth,Imports0 bottled (1000 hl),0
2014,Estonia,Vermouth,Exports0 bottled (1000 hl),0
2014,Estonia,Wine - Total,Official production (1000 hl),0
2014,Estonia,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2014,Estonia,Wine - Total,Usable production (1000 hl),0
2014,Estonia,Wine - Total,Total production other than for vinification (1000 hl),0
2014,Estonia,Wine - Total,Losses from evaporation (1000 hl),0
2014,Estonia,Wine - Total,Imports from EU (1000 t),0
2014,Estonia,Wine - Total,Imports from third countries (1000 hl),42
2014,Estonia,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),40
2014,Estonia,Wine - Total,Gross human consumption (1000 hl),195
2014,Estonia,Wine - Total,Degree of self-sufficiency (%),0
2014,Estonia,Wine - Total,Vinegar manufacture (1000 hl),0
2014,Estonia,Wine - Total,Imports0 bottled (1000 hl),26
2014,Estonia,Wine - Total,Exports0 bottled (1000 hl),7
2014,Estonia,Red and rose wine,Official production (1000 hl),0
2014,Estonia,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2014,Estonia,Red and rose wine,Usable production (1000 hl),0
2014,Estonia,Red and rose wine,Total production other than for vinification (1000 hl),0
2014,Estonia,Red and rose wine,Losses from evaporation (1000 hl),0
2014,Estonia,Red and rose wine,Imports from EU (1000 t),0
2014,Estonia,Red and rose wine,Imports from third countries (1000 hl),0
2014,Estonia,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2014,Estonia,Red and rose wine,Gross human consumption (1000 hl),0
2014,Estonia,Red and rose wine,Degree of self-sufficiency (%),0
2014,Estonia,Red and rose wine,Vinegar manufacture (1000 hl),0
2014,Estonia,Red and rose wine,Imports0 bottled (1000 hl),0
2014,Estonia,Red and rose wine,Exports0 bottled (1000 hl),0
2014,Estonia,White wine,Official production (1000 hl),0
2014,Estonia,White wine,Most intended for the production of grape juice (1000 hl),0
2014,Estonia,White wine,Usable production (1000 hl),0
2014,Estonia,White wine,Total production other than for vinification (1000 hl),0
2014,Estonia,White wine,Losses from evaporation (1000 hl),0
2014,Estonia,White wine,Imports from EU (1000 t),0
2014,Estonia,White wine,Imports from third countries (1000 hl),19
2014,Estonia,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),20
2014,Estonia,White wine,Gross human consumption (1000 hl),110
2014,Estonia,White wine,Degree of self-sufficiency (%),0
2014,Estonia,White wine,Vinegar manufacture (1000 hl),0
2014,Estonia,White wine,Imports0 bottled (1000 hl),10
2014,Estonia,White wine,Exports0 bottled (1000 hl),3
2014,Estonia,Quality wines P.S.R. - Total,Official production (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2014,Estonia,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2014,Estonia,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2014,Estonia,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2015,Estonia,Vermouth,Official production (1000 hl),0
2015,Estonia,Vermouth,Most intended for the production of grape juice (1000 hl),0
2015,Estonia,Vermouth,Usable production (1000 hl),0
2015,Estonia,Vermouth,Total production other than for vinification (1000 hl),0
2015,Estonia,Vermouth,Losses from evaporation (1000 hl),0
2015,Estonia,Vermouth,Imports from EU (1000 t),0
2015,Estonia,Vermouth,Imports from third countries (1000 hl),0
2015,Estonia,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2015,Estonia,Vermouth,Gross human consumption (1000 hl),0
2015,Estonia,Vermouth,Degree of self-sufficiency (%),0
2015,Estonia,Vermouth,Vinegar manufacture (1000 hl),0
2015,Estonia,Vermouth,Imports0 bottled (1000 hl),0
2015,Estonia,Vermouth,Exports0 bottled (1000 hl),0
2015,Estonia,Wine - Total,Official production (1000 hl),0
2015,Estonia,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2015,Estonia,Wine - Total,Usable production (1000 hl),0
2015,Estonia,Wine - Total,Total production other than for vinification (1000 hl),0
2015,Estonia,Wine - Total,Losses from evaporation (1000 hl),0
2015,Estonia,Wine - Total,Imports from EU (1000 t),0
2015,Estonia,Wine - Total,Imports from third countries (1000 hl),39
2015,Estonia,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),36
2015,Estonia,Wine - Total,Gross human consumption (1000 hl),184
2015,Estonia,Wine - Total,Degree of self-sufficiency (%),0
2015,Estonia,Wine - Total,Vinegar manufacture (1000 hl),0
2015,Estonia,Wine - Total,Imports0 bottled (1000 hl),28
2015,Estonia,Wine - Total,Exports0 bottled (1000 hl),2
2015,Estonia,Red and rose wine,Official production (1000 hl),0
2015,Estonia,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2015,Estonia,Red and rose wine,Usable production (1000 hl),0
2015,Estonia,Red and rose wine,Total production other than for vinification (1000 hl),0
2015,Estonia,Red and rose wine,Losses from evaporation (1000 hl),0
2015,Estonia,Red and rose wine,Imports from EU (1000 t),0
2015,Estonia,Red and rose wine,Imports from third countries (1000 hl),0
2015,Estonia,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2015,Estonia,Red and rose wine,Gross human consumption (1000 hl),0
2015,Estonia,Red and rose wine,Degree of self-sufficiency (%),0
2015,Estonia,Red and rose wine,Vinegar manufacture (1000 hl),0
2015,Estonia,Red and rose wine,Imports0 bottled (1000 hl),0
2015,Estonia,Red and rose wine,Exports0 bottled (1000 hl),0
2015,Estonia,White wine,Official production (1000 hl),0
2015,Estonia,White wine,Most intended for the production of grape juice (1000 hl),0
2015,Estonia,White wine,Usable production (1000 hl),0
2015,Estonia,White wine,Total production other than for vinification (1000 hl),0
2015,Estonia,White wine,Losses from evaporation (1000 hl),0
2015,Estonia,White wine,Imports from EU (1000 t),0
2015,Estonia,White wine,Imports from third countries (1000 hl),17
2015,Estonia,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),19
2015,Estonia,White wine,Gross human consumption (1000 hl),106
2015,Estonia,White wine,Degree of self-sufficiency (%),0
2015,Estonia,White wine,Vinegar manufacture (1000 hl),0
2015,Estonia,White wine,Imports0 bottled (1000 hl),12
2015,Estonia,White wine,Exports0 bottled (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Official production (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2015,Estonia,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2015,Estonia,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2015,Estonia,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2006,Finland,Vermouth,Official production (1000 hl),0
2006,Finland,Vermouth,Most intended for the production of grape juice (1000 hl),0
2006,Finland,Vermouth,Usable production (1000 hl),0
2006,Finland,Vermouth,Total production other than for vinification (1000 hl),0
2006,Finland,Vermouth,Losses from evaporation (1000 hl),0
2006,Finland,Vermouth,Imports from EU (1000 t),0
2006,Finland,Vermouth,Imports from third countries (1000 hl),0
2006,Finland,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2006,Finland,Vermouth,Gross human consumption (1000 hl),0
2006,Finland,Vermouth,Degree of self-sufficiency (%),0
2006,Finland,Vermouth,Vinegar manufacture (1000 hl),0
2006,Finland,Vermouth,Imports0 bottled (1000 hl),0
2006,Finland,Vermouth,Exports0 bottled (1000 hl),0
2006,Finland,Wine - Total,Official production (1000 hl),0
2006,Finland,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2006,Finland,Wine - Total,Usable production (1000 hl),0
2006,Finland,Wine - Total,Total production other than for vinification (1000 hl),0
2006,Finland,Wine - Total,Losses from evaporation (1000 hl),0
2006,Finland,Wine - Total,Imports from EU (1000 t),296.3
2006,Finland,Wine - Total,Imports from third countries (1000 hl),217.2
2006,Finland,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),8.1
2006,Finland,Wine - Total,Gross human consumption (1000 hl),516.1
2006,Finland,Wine - Total,Degree of self-sufficiency (%),0
2006,Finland,Wine - Total,Vinegar manufacture (1000 hl),0
2006,Finland,Wine - Total,Imports0 bottled (1000 hl),0
2006,Finland,Wine - Total,Exports0 bottled (1000 hl),0
2006,Finland,Red and rose wine,Official production (1000 hl),0
2006,Finland,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2006,Finland,Red and rose wine,Usable production (1000 hl),0
2006,Finland,Red and rose wine,Total production other than for vinification (1000 hl),0
2006,Finland,Red and rose wine,Losses from evaporation (1000 hl),0
2006,Finland,Red and rose wine,Imports from EU (1000 t),0
2006,Finland,Red and rose wine,Imports from third countries (1000 hl),0
2006,Finland,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2006,Finland,Red and rose wine,Gross human consumption (1000 hl),0
2006,Finland,Red and rose wine,Degree of self-sufficiency (%),0
2006,Finland,Red and rose wine,Vinegar manufacture (1000 hl),0
2006,Finland,Red and rose wine,Imports0 bottled (1000 hl),0
2006,Finland,Red and rose wine,Exports0 bottled (1000 hl),0
2006,Finland,White wine,Official production (1000 hl),0
2006,Finland,White wine,Most intended for the production of grape juice (1000 hl),0
2006,Finland,White wine,Usable production (1000 hl),0
2006,Finland,White wine,Total production other than for vinification (1000 hl),0
2006,Finland,White wine,Losses from evaporation (1000 hl),0
2006,Finland,White wine,Imports from EU (1000 t),138.6
2006,Finland,White wine,Imports from third countries (1000 hl),93.1
2006,Finland,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),2.4
2006,Finland,White wine,Gross human consumption (1000 hl),227.2
2006,Finland,White wine,Degree of self-sufficiency (%),0
2006,Finland,White wine,Vinegar manufacture (1000 hl),0
2006,Finland,White wine,Imports0 bottled (1000 hl),0
2006,Finland,White wine,Exports0 bottled (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Official production (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Imports from EU (1000 t),187.9
2006,Finland,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),2.1
2006,Finland,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),188
2006,Finland,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2006,Finland,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2006,Finland,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2007,Finland,Vermouth,Official production (1000 hl),0
2007,Finland,Vermouth,Most intended for the production of grape juice (1000 hl),0
2007,Finland,Vermouth,Usable production (1000 hl),0
2007,Finland,Vermouth,Total production other than for vinification (1000 hl),0
2007,Finland,Vermouth,Losses from evaporation (1000 hl),0
2007,Finland,Vermouth,Imports from EU (1000 t),0
2007,Finland,Vermouth,Imports from third countries (1000 hl),0
2007,Finland,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Finland,Vermouth,Gross human consumption (1000 hl),0
2007,Finland,Vermouth,Degree of self-sufficiency (%),0
2007,Finland,Vermouth,Vinegar manufacture (1000 hl),0
2007,Finland,Vermouth,Imports0 bottled (1000 hl),0
2007,Finland,Vermouth,Exports0 bottled (1000 hl),0
2007,Finland,Wine - Total,Official production (1000 hl),0
2007,Finland,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2007,Finland,Wine - Total,Usable production (1000 hl),0
2007,Finland,Wine - Total,Total production other than for vinification (1000 hl),0
2007,Finland,Wine - Total,Losses from evaporation (1000 hl),0
2007,Finland,Wine - Total,Imports from EU (1000 t),243.1
2007,Finland,Wine - Total,Imports from third countries (1000 hl),270.33
2007,Finland,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),13.55
2007,Finland,Wine - Total,Gross human consumption (1000 hl),559
2007,Finland,Wine - Total,Degree of self-sufficiency (%),0
2007,Finland,Wine - Total,Vinegar manufacture (1000 hl),0
2007,Finland,Wine - Total,Imports0 bottled (1000 hl),0
2007,Finland,Wine - Total,Exports0 bottled (1000 hl),0
2007,Finland,Red and rose wine,Official production (1000 hl),0
2007,Finland,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2007,Finland,Red and rose wine,Usable production (1000 hl),0
2007,Finland,Red and rose wine,Total production other than for vinification (1000 hl),0
2007,Finland,Red and rose wine,Losses from evaporation (1000 hl),0
2007,Finland,Red and rose wine,Imports from EU (1000 t),0
2007,Finland,Red and rose wine,Imports from third countries (1000 hl),0
2007,Finland,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Finland,Red and rose wine,Gross human consumption (1000 hl),0
2007,Finland,Red and rose wine,Degree of self-sufficiency (%),0
2007,Finland,Red and rose wine,Vinegar manufacture (1000 hl),0
2007,Finland,Red and rose wine,Imports0 bottled (1000 hl),0
2007,Finland,Red and rose wine,Exports0 bottled (1000 hl),0
2007,Finland,White wine,Official production (1000 hl),0
2007,Finland,White wine,Most intended for the production of grape juice (1000 hl),0
2007,Finland,White wine,Usable production (1000 hl),0
2007,Finland,White wine,Total production other than for vinification (1000 hl),0
2007,Finland,White wine,Losses from evaporation (1000 hl),0
2007,Finland,White wine,Imports from EU (1000 t),109.7
2007,Finland,White wine,Imports from third countries (1000 hl),98.72
2007,Finland,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),5.45
2007,Finland,White wine,Gross human consumption (1000 hl),203.8
2007,Finland,White wine,Degree of self-sufficiency (%),0
2007,Finland,White wine,Vinegar manufacture (1000 hl),0
2007,Finland,White wine,Imports0 bottled (1000 hl),0
2007,Finland,White wine,Exports0 bottled (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Official production (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Imports from EU (1000 t),132
2007,Finland,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),4.1
2007,Finland,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),205
2007,Finland,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2007,Finland,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2007,Finland,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2008,Finland,Vermouth,Official production (1000 hl),0
2008,Finland,Vermouth,Most intended for the production of grape juice (1000 hl),0
2008,Finland,Vermouth,Usable production (1000 hl),0
2008,Finland,Vermouth,Total production other than for vinification (1000 hl),0
2008,Finland,Vermouth,Losses from evaporation (1000 hl),0
2008,Finland,Vermouth,Imports from EU (1000 t),0
2008,Finland,Vermouth,Imports from third countries (1000 hl),0
2008,Finland,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2008,Finland,Vermouth,Gross human consumption (1000 hl),0
2008,Finland,Vermouth,Degree of self-sufficiency (%),0
2008,Finland,Vermouth,Vinegar manufacture (1000 hl),0
2008,Finland,Vermouth,Imports0 bottled (1000 hl),0
2008,Finland,Vermouth,Exports0 bottled (1000 hl),0
2008,Finland,Wine - Total,Official production (1000 hl),0
2008,Finland,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2008,Finland,Wine - Total,Usable production (1000 hl),0
2008,Finland,Wine - Total,Total production other than for vinification (1000 hl),0
2008,Finland,Wine - Total,Losses from evaporation (1000 hl),0
2008,Finland,Wine - Total,Imports from EU (1000 t),0
2008,Finland,Wine - Total,Imports from third countries (1000 hl),263.1
2008,Finland,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),1.4
2008,Finland,Wine - Total,Gross human consumption (1000 hl),554.9
2008,Finland,Wine - Total,Degree of self-sufficiency (%),0
2008,Finland,Wine - Total,Vinegar manufacture (1000 hl),0
2008,Finland,Wine - Total,Imports0 bottled (1000 hl),0
