"approval_code","business_name","location","prefecture_name_gr","region_name_gr","activity","latitude","longitude"
"GR-31","ΠΑΥΛΟΣ ΜΑΓΕΙΡΟΣ","Μαρκόπουλο","Ανατολικής Αττικής","Αττικής","EPC",37.8831015,23.9328354
"GR-207","ΑΛ. Γ. ΔΗΜΟΠΟΥΛΟΣ","Αίγινα","Πειραιώς και Νήσων","Αττικής","EPC",37.72424645,23.4924317518985
"GR-56","ΒΑΣ. & ΚΩΝ.  ΠΑΠΑΘΑΝΑΣΙΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-307","ΚΑΛΑΚΩΝΑ ΣΟΦΙΑ","Παροικιά, Πάρος","Κυκλάδων","Νοτίου Αιγαίου","EPC",37.0842378,25.1503978
"EL-305","ΧΑΣΤΑΣ ΔΗΜΗΤΡΙΟΣ","Διμήνι","Μαγνησίας","Θεσσαλίας","EPC",39.3578028,22.8930209
"EL-309","ΓΚΟΥΤΖΑΜΠΑΣΟΥΛΗ ΦΑΝΗ του ΙΩΑΝΝΗ","Γλαύκη, Κιλελέρ","Λαρίσης","Θεσσαλίας","EPC",39.6126369,22.57492
"EL-302","ΒΟΥΛΓΑΡΗ ΕΛΕΝΗ","Λαγκαδάς","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",40.7499952,23.0667613
"GR-65","Ι. ΡΗΓΑΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-68","ΑΝΑΣΤ.ΣΑΚΕΛΛΑΡΗΣ","Ερυθρές","Δυτικής Αττικής","Αττικής","EPC",38.2165099,23.3219271
"GR-75","ΒΑΣΙΛΙΚΗ ΔΟΥΚΑ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-91","ΔΗΜΗΤΡΙΟΣ ΝΙΚΟΛΑΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-286","ΙΩΑΝΝΗΣ Π. ΤΣΑΚΙΡΗΣ","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"EL-287","ΤΣΑΚΙΡΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΤΡΟΦΙΜΩΝ δ.τ.TSAKIRIS FAMILY A.E.","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"EL-292","ΚΟΤΑΝΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ","Αρεθούσα","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",37.6124857,26.2127909
"EL-297","ΑΦΟΙ ΛΑΒΙΔΑ","Νεοχωρούδα","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",40.7375617,22.876048
"EL-299","ΤΡΑΪΚΟΥΔΗΣ ΕΥΑΓΓΕΛΟΣ","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"EL-306","ΚΟΙΝΩΝΙΑ ΚΛΗΡΟΝΟΜΩΝ ΚΑΣΕΜ ΜΩΧΑΜΑΝΤ","Νεοχωρούδα","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",40.7375617,22.876048
"EL-69","ΧΡΗΣΤΟΣ ΚΑΣΑΡΗΣ","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"GR-81","ΑΦΟΙ ΛΑΒΙΔΑ","Ωραιόκαστρο","Θεσσαλονίκης","Κεντρικής Μακεδονίας","EPC",39.9872013,20.5520244
"GR-60","ΧΡΗΣΤΟΣ ΠΑΡΙΑΝΟΣ","Κορωπί","Ανατολικής Αττικής","Αττικής","EPC",37.8997648,23.8736294
"GR-64","ΠΑΠΑΝΙΚΟΛΑΟΥ ΕΛΛΗ","Κορωπί","Ανατολικής Αττικής","Αττικής","EPC",37.8997648,23.8736294
"GR-71","ΑΦΟΙ ΚΟΝΤΟΓΙΑΝΝΗ Ο.Ε.","Αυλώνα","Ανατολικής Αττικής","Αττικής","EPC",35.774237,27.1812685
"EL-106","ΑΦΟΙ ΜΟΥΣΤΑΚΑ - ΙΕΡΟΘΕΟΣ & ΧΡΗΣTΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-19","ΠΕΓΚΟΣ ΕΥΑΓΓΕΛΟΣ-ΠΕΓΚΟΣ ΧΡΗΣΤΟΣ ΟΕ (PEG FARM)","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-102","ΑΝΤΩΝΙΟΣ ΧΑΤΖΗΝΩΤΑΣ","Νάουσα","Ημαθίας","Κεντρικής Μακεδονίας","EPC",40.6306515,22.0698076
"EL-195","ΘΕΟΧΑΡΗΣ ΜΑΝΙΤΑΡΑΣ ΚΑΙ ΣΙΑ Ε.Ε.","Μαλανδρίνο","Φωκίδας","Στερεάς Ελλάδας","EPC",38.4563865,22.2372396
"EL-276","ΦΩΤΙΟΣ ΚΟΝΤΟΓΙΑΝΝΗΣ ΤΟΥ ΑΝΑΣΤΑΣΙΟΥ","Χανίων 1Γ, Λυκόβρυση","Ανατολικής Αττικής","Αττικής","EPC",38.0538913,23.779628
"EL-301","ΑΝΔΡΕΟΥ ΙΩΑΝΝΗΣ","Αγίας Μαρίνας 51, Μαραθώνας","Ανατολικής Αττικής","Αττικής","EPC",38.0615796,23.9838291
"EL-281","ΠΑΠΑΔΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ","Φίχτι","Αργολίδας","Πελοποννήσου","EPC",37.7231661,22.724921
"EL-282","ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ ΤΟΥ ΔΗΜΗΤΡΙΟΥ","Σχινοχώρι","Αργολίδας","Πελοποννήσου","EPC",37.6787395,22.6241681
"EL-293","ΔΑΝΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ","Φίχτι","Αργολίδας","Πελοποννήσου","EPC",37.7231661,22.724921
"EL-298","ΜΑΝΕΝΤΗΣ ΔΙΟΝΥΣΙΟΣ","Αργοστόλι","Κεφαλληνίας","Ιονίων νήσων","EPC",38.1735424,20.4878219
"GR-176","ΚΩΝ. ΠΟΛΥΧΡΟΝΑΚΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-179","ΧΡ. & ΠΑΝ. ΚΟΥΡΣΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-18","ΑΛΕΞΑΝΔΡΟΣ ΒΑΚΑΚΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-185","Ι. & ΑΘ. ΚΥΡΙΑΚΟΥΛΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-187","ΗΛΙΑΣ ΜΑΚΡΥΓΙΑΝΝΗΣ","Άγιοι Θεόδωροι","Δυτικής Αττικής","Αττικής","EPC",37.3147034,21.9604261
"GR-189","ΜΑΝΩΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-304","ΚΩΝΣΤΑΝΤΑΤΟΣ ΑΝΑΣΤΑΣΙΟΣ","Αργοστόλι","Κεφαλληνίας","Ιονίων νήσων","EPC",38.1735424,20.4878219
"EL-303","ΠΤΗΝΟΤΡΟΦΙΚΗ ΝΑΞΟΥ","Νάξος","Κυκλάδων","Νοτίου Αιγαίου","EPC",37.0598621,25.470834497202
"GR-141","ΒΕΝΙΖΕΛΟΣ ΙΩΑΝΝΗΣ & ΣΙΑ ΟΕ","Θήβα","Βοιωτίας","Στερεάς Ελλάδας","EPC",38.3200705,23.3175613
"GR-143","ΙΩΑΝΝΗΣ ΣΚΟΥΜΑΣ","Θήβα","Βοιωτίας","Στερεάς Ελλάδας","EPC",38.3200705,23.3175613
"GR-15","Μ.ΛΙΣΓΑΡΑΣ-Η.ΤΣΙΟΥΡΗΣ Ο.Ε.","Κατσικάς, Ιωάννινα","Ιωαννίνων","Ηπείρου","EPC",39.6220898,20.8860855
"GR-16","ΠΤΗΝΟΤΡΟΦΙΚΗ ΙΩΑΝΝΙΝΩΝ","Μπιζάνι, Ιωάννινα","Ιωαννίνων","Ηπείρου","EPC",39.5669038,20.8885698
"EL-308","FARM SERVICES O.E.","Γιάννουλη","Λαρίσης","Θεσσαλίας","EPC",39.6660996,22.3957245
"EL-235","ΔΡΙΤΣΑΣ ΕΜΜΑΝΟΥΗΛ ΤΟΥ ΓΕΩΡΓΙΟΥ ΚΑΙ ΔΡΙΤΣΑ ΕΛΕΥΘΕΡΙΑ ΣΥΖ. ΕΜΜΑΝΟΥΗΛ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
