id;name;code;prefecture;region
170;ΚΥΚΛΩΠΑΣ ΕΛΑΙΟΤΡΙΒΕΙΟ ΚΕΛΙΔΗΣ ΑΡΓΥΡΗΣ Α.Ε.;71ΣΜ2(71SM2);Έβρου;Ανατολικής Μακεδονίας και Θράκης
171;BOLERO ΖΑΧΑΡΩΔΗ ΘΡΑΚΗΣ ΑΕ;73ΣΜ1(73SM1);Ροδόπης;Ανατολικής Μακεδονίας και Θράκης
172;ΓΙΑΖΗΤΖΗ ΓΚΙΟΥΛΤΕΝ;72ΣΜ1(72SM1);Ξάνθης;Ανατολικής Μακεδονίας και Θράκης
173;ΚΩΝΣΤΑΝΤΙΝΟΣ ΛΑΖΑΡΕΛΗΣ Μονοπρόσωπη ΕΠΕ;55ΣΜ1(55SM1);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
174;ΝΟΒΑΚΙΔΟΥ ΘΕΟΔΩΡΑ ΑΝΝΑ;55ΣΜ2(55SM2);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
175;ΜΕΛΙΣΣΟΚΟΜΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΘΑΣΟΥ;55ΣΜ3(55SM3);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
176;ΚΟΥΤΛΗΣ ΧΡΗΣΤΟΣ;55ΣΜ4(55SM4);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
177;ΜΕΛΙΣΣΟΚΟΜΙΚΗ ΦΩΤΙΟΥ;55ΣΜ5(55SM5);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
178;ΕΛΕΝΗ ΓΑΛΑΝΗ;55ΣΜ6(55SM6);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
179;ΣΑΒΒΑΣ ΣΕΦΕΡΙΔΗΣ;55ΣΜ7(55SM7);Καβάλας;Ανατολικής Μακεδονίας και Θράκης
